,LTP,% Change,High,Low,Open,Qty.,Turnover,Symbol
0,603.8,5.93,603.8,579.0,579.0,2432.0,1448313.3,ACLBSL
1,234.0,0.39,237.1,228.6,233.0,14945.0,3484322.1,ADBL
2,1223.0,1.83,1249.5,1201.0,1225.0,460.0,564626.5,ADLB
3,368.4,0.93,371.9,359.0,365.0,5575.0,2041772.0,AHL
4,295.9,1.04,300.0,291.3,298.0,49991.0,14758653.1,AHPC
5,451.0,3.63,477.3,431.3,477.3,20569.0,9480717.8,AIL
6,219.0,0.41,222.9,216.1,222.9,31997.0,7007105.9,AKJCL
7,372.0,0.0,378.0,367.1,378.0,43087.0,16039739.3,AKPL
8,719.1,1.0,730.0,714.1,715.0,2239.0,1623301.2,ALBSL
9,608.0,0.0,615.0,602.7,615.0,12313.0,7511008.4,ALICL
10,1503.0,10.0,1503.0,1393.7,1393.7,110.0,162286.8,ANLB
11,240.0,1.48,247.0,238.1,247.0,81806.0,19756926.9,API
12,615.0,1.32,619.0,595.1,607.0,2829.0,1725453.7,AVYAN
13,248.9,0.77,253.0,243.1,250.0,12646.0,3145765.4,BARUN
14,3347.5,1.44,3347.5,3263.0,3300.0,190.0,623443.0,BBC
15,313.0,1.39,322.0,313.0,322.0,7041.0,2216397.0,BFC
16,403.1,2.87,420.0,403.1,407.1,3988.0,1630153.0,BHDC
17,298.9,0.64,301.0,278.0,293.1,2160.0,632003.0,BHL
18,470.0,0.42,471.8,455.1,462.6,2841.0,1316303.0,BHPL
19,389.9,1.01,395.0,371.7,378.3,796.0,305702.5,BNHC
20,13005.0,3.21,13005.0,12348.0,12351.1,510.0,6444583.5,BNT
21,319.8,0.25,323.0,316.1,319.0,8234.0,2634119.8,BPCL
22,331.8,4.01,331.8,325.3,325.3,20.0,6571.0,BPW
23,897.5,0.17,910.0,883.1,901.0,14408.0,12960270.0,CBBL
24,873.0,1.91,890.0,873.0,890.0,155.0,137100.0,CBLD88
25,312.0,0.65,316.0,309.0,316.0,3679.0,1143865.0,CFCL
26,1178.0,4.25,1190.0,1111.0,1111.0,5685.0,6592296.2,CGH
27,475.5,0.94,485.0,471.7,480.0,32625.0,15555889.8,CHCL
28,790.0,2.07,800.0,756.0,774.0,8442.0,6534385.7,CHDC
29,291.0,0.68,298.0,286.5,298.0,3529.0,1024179.9,CHL
30,2224.0,0.54,2239.0,2181.0,2212.0,13979.0,31057491.9,CIT
31,610.0,1.72,623.0,591.0,611.6,907.0,549855.0,CLBSL
32,7.65,1.67,7.65,7.48,7.63,6600.0,49575.0,CMF1
33,8.35,1.83,8.52,8.35,8.36,5250.0,43860.0,CMF2
34,293.0,2.98,303.0,291.0,303.0,3762.0,1109137.3,CORBL
35,178.9,1.07,178.9,175.0,176.0,18647.0,3315866.6,CZBIL
36,704.0,2.18,713.0,690.0,702.0,9560.0,6708086.0,DDBL
37,211.9,0.43,218.0,202.9,215.2,8144.0,1714716.6,DHPL
38,741.0,5.45,742.0,702.7,702.7,1901.0,1395867.0,DLBS
39,278.0,0.68,281.8,270.6,278.0,4545.0,1244032.0,DORDI
40,550.9,0.2,555.0,547.0,555.0,70489.0,38831352.9,EBL
41,800.0,0.53,800.0,795.0,795.0,65.0,51875.0,EBLD86
42,292.0,1.02,298.0,285.0,291.2,28899.0,8383843.5,EDBL
43,360.0,0.41,363.0,347.3,354.3,3321.0,1172771.8,EHPL
44,637.0,0.47,651.0,618.2,640.0,399.0,255135.5,ENL
45,580.0,1.75,582.0,560.0,570.0,45818.0,26221337.6,FMDBL
46,1220.0,3.92,1220.0,1150.0,1175.0,7454.0,8931324.0,FOWAD
47,795.0,0.0,795.0,781.0,781.0,150.0,118535.0,GBBD85
48,364.0,1.11,365.0,357.0,361.0,24581.0,8885944.7,GBBL
49,778.2,1.99,778.2,778.2,778.2,10.0,7782.0,GBILD86/87
50,187.5,0.27,188.9,185.2,188.9,51793.0,9665969.9,GBIME
51,107.0,0.0,107.0,107.0,107.0,20506.0,2194142.0,GBIMEP
52,510.0,3.03,523.8,489.0,489.0,8030.0,4078275.9,GBLBS
53,465.1,0.54,465.1,454.5,460.0,7359.0,3403084.0,GFCL
54,236.8,0.98,239.0,229.0,235.0,27940.0,6513588.5,GHL
55,8.61,6.69,8.61,7.91,7.91,11640.0,96431.2,GIBF1
56,860.0,4.87,860.0,805.1,805.1,5606.0,4685087.6,GILB
57,725.2,1.06,725.2,711.0,721.0,330.0,236065.0,GLBSL
58,286.9,1.07,293.0,284.4,284.4,9506.0,2712823.5,GLH
59,753.0,1.21,755.0,730.1,745.0,242.0,179863.4,GMFBS
60,312.0,0.48,319.0,310.2,315.0,5256.0,1641801.4,GMFIL
61,259.1,1.48,268.2,259.0,268.2,2690.0,703026.6,GRDBL
62,519.0,0.02,520.0,508.1,520.0,16330.0,8378268.2,GUFL
63,425.1,1.14,434.0,421.4,430.0,9647.0,4108633.0,GVL
64,1022.1,1.06,1022.5,1022.1,1022.5,485.0,495908.5,GWFD83
65,222.0,0.0,225.0,220.2,223.0,42736.0,9507609.8,HBL
